Sl,Text,Extracted Name,Extracted Location,Extracted Organization
1,"['- japan get lucky win, china in surprise defeat.']",['lucky'],"['japan', 'china']",[]
2,"['nadim ladki al-ain, united arab emirates 1996-12-06 japan began the defence of their asian cup title with a lucky 2-1 win against syria in a group c championship match on friday.']","['nadim', 'ladki', 'al-ain', '1996-12-06']","['japan', 'syria']","['united', 'arab', 'emirates']"
3,"['but china saw their luck desert them in the second match of the group, crashing to a surprise 2-0 defeat to newcomers uzbekistan.']",[],['china'],[]
4,['china controlled most of the match and saw several chances missed until the 78th minute when uzbek striker igor shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing chinese keeper and into an empty net.'],"['uzbek', 'igor', 'shkvyrin']",['china'],[]
5,"['oleg shatskiku made sure of the win in injury time, hitting an unstoppable left foot shot from just outside the area.']","['oleg', 'shatskiku']",[],[]
6,['the former soviet republic was playing in an asian cup finals tie for the first time.'],[],"['soviet', 'republic']",[]
7,"['despite winning the asian games title two years ago, uzbekistan are in the finals as outsiders.']",[],[],[]
8,['two goals from defensive errors in the last six minutes allowed japan to come from behind and collect all three points from their opening meeting against syria.'],[],"['japan', 'syria']",[]
9,"['takuya takagi scored the winner in the 88th minute, rising to head a hiroshige yanagimoto cross towards the syrian goal which goalkeeper salem bitar appeared to have covered but then allowed to slip into the net.']","['takuya', 'takagi', 'salem', 'bitar']",[],[]
10,['it was the second costly blunder by syria in four minutes.'],[],['syria'],[]
11,"[""defender hassan abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of bitar's goal.""]","['hassan', 'abbas']",[],[]
12,['nader jokhadar had given syria the lead with a well-struck header in the seventh minute.'],"['nader', 'jokhadar']",['syria'],[]
13,['japan then laid siege to the syrian penalty area for most of the game but rarely breached the syrian defence.'],[],['japan'],[]
14,['bitar pulled off fine saves whenever they did.'],['bitar'],[],[]
15,"[""japan coach shu kamo said:'' the syrian own goal proved lucky for us.""]","['shu', 'kamo']",['japan'],[]
16,['the syrians scored early and then played defensively and adopted long balls which made it hard for us.'],[],[],[]
17,"[""'' japan, co-hosts of the world cup in 2002 and ranked 20th in the world by fifa, are favourites to regain their title here.""]",[],"['japan', 'fifa']",[]
18,['hosts uae play kuwait and south korea take on indonesia on saturday in group a matches.'],[],"['uae', 'kuwait', 'south', 'korea', 'indonesia']",[]
19,['all four teams are level with one point each from one game.'],[],[],[]
20,['-docstart- rugby union- cuttitta back for italy after a year.'],['cuttitta'],['italy'],"['rugby', 'union']"
21,['rome 1996-12-06 italy recalled marcello cuttitta on friday for their friendly against scotland at murrayfield more than a year after the 30-year-old wing announced he was retiring following differences over selection.'],[],"['rome', 'italy', 'marcello', 'scotland']",['selection']
22,"['cuttitta, who trainer george coste said was certain to play on saturday week, was named in a 21-man squad lacking only two of the team beaten 54-21 by england at twickenham last month.']","['cuttitta', 'george', 'coste']","['england', 'twickenham']",[]
23,"['stefano bordon is out through illness and coste said he had dropped back row corrado covi, who had been recalled for the england game after five years out of the national team.']","['stefano', 'bordon', 'corrado', 'covi']",['england'],[]
24,"['cuttitta announced his retirement after the 1995 world cup, where he took issue with being dropped from the italy side that faced england in the pool stages.']",['cuttitta'],"['italy', 'england']",[]
25,['coste said he had approached the player two months ago about a comeback.'],['coste'],[],[]
26,"['he ended the world cup on the wrong note,']",[],[],[]
27,['coste said.'],['coste'],[],[]
28,['i thought it would be useful to have him back and he said he would be available.'],[],[],[]
29,['i think now is the right time for him to return.'],[],[],[]
